"ID","Course","LongTitle","Dept","UGrad"
"003903","ECON 3903","Faculty Seminar Topics in Entr","Economics",0
"107349","MODMDEST 100","Intro Modern Middle East","Near Eastern Languages & Civ",28
"107368","PHYSCI 11","Frontiers of Modern Chemistry","Chemistry & Chemical Biology",221
"107375","HIND-URD 91R","Hindi-Urdu Supervised Readings","South Asian Studies",1
"107378","SAS 100R","South Asian Language Tutorials","South Asian Studies",2
"107380","SAS 98R","Tutorial - Junior Year","South Asian Studies",1
"107425","ECON 1450","Religion and Political Economy","Economics",0
"107451","PSY 1502","Cultural Psychology","Psychology",3
"107455","CELLBIO 307QC","Chromatin Dynamics","Medical Sciences",0
"107600","APMTH 221","Advanced Optimization","Applied Mathematics",7
"107602","PSY 1503","Psych of Close Relationships","Psychology",128
"107628","DRB 322","Regulation of Tissue Stem Cell","Medical Sciences",0
"107630","GENETIC 397","Immunogenomics","Medical Sciences",0
"107672","PERSIAN 152","Persian Epic Tradition","Near Eastern Languages & Civ",5
"107703","CHEM 320","Chemical Biology","Chemistry & Chemical Biology",0
"107706","PSY 2410R","Lab Research Emotional Disorde","Psychology",2
"107746","NEUROBIO 355","A Biophysical Approach to Syst","Medical Sciences",0
"107761","GENETIC 395","Regulation of global genes","Medical Sciences",0
"107764","ENG-SCI 265","Advanced Water Treatment","Engineering Sciences",1
"107809","LING 215","Phonological Theory II","Linguistics",0
"107811","ECON 1310","The Economy of China","Economics",17
"107827","ECON 910R","Supervised Reading and Researc","Economics",6
"107831","CELLBIO 308QC","Intro to Histology","Medical Sciences",0
"107843","HBTM 200","Pathology of Human Disease","Medical Sciences",1
"107868","CELLBIO 390","Membrane: Cytoskeleton Interfc","Medical Sciences",0
"107885","GENETIC 394","Transcriptional Networks","Medical Sciences",0
"107886","GENETIC 347","Ras signaling and colon cancer","Medical Sciences",0
"107887","GENETIC 356","Research-Molecular Cytogenetic","Medical Sciences",0
"107893","THI 101B","Introductory Thai II","South Asian Studies",1
"107899","PHYSICS 302A","Teaching & Communicating Physi","Physics",0
"107908","BPH 382","Aging, Stress Resistance & Die","Bio Sciences in Public Health",0
"107972","HIST 89J","The United States and China","History",14
