"ID","Course","LongTitle","Dept","UGrad"
"107368","PHYSCI 11","Frontiers of Modern Chemistry","Chemistry & Chemical Biology",291
"107375","HIND-URD 91R","Hindi-Urdu Supervised Readings","South Asian Studies",1
"107378","SAS 100R","South Asian Language Tutorials","South Asian Studies",2
"107379","SAS 91R","Supervised Reading & Research","South Asian Studies",1
"107451","PSY 1502","Cultural Psychology","Psychology",14
"107469","LING 221R","Workshop in Indo-European","Linguistics",0
"107602","PSY 1503","Psych of Close Relationships","Psychology",144
"107628","DRB 322","Regulation of Tissue Stem Cell","Medical Sciences",0
"107630","GENETIC 397","Immunogenomics","Medical Sciences",0
"107675","ECON 980W","Policy Options in Health","Economics",9
"107703","CHEM 320","Chemical Biology","Chemistry & Chemical Biology",1
"107706","PSY 2410R","Lab Research Emotional Disorde","Psychology",5
"107709","CHEM 255","Practical Crystallography","Chemistry & Chemical Biology",2
"107734","ENG-SCI 350","Materials Science","Engineering Sciences",0
"107746","NEUROBIO 355","A Biophysical Approach to Syst","Medical Sciences",0
"107761","GENETIC 395","Regulation of global genes","Medical Sciences",0
"107773","AFRAMER 90R.X","Setswana","African & African Amer Studies",0
"107790","AFRAMER 90R.Y","Kikongo","African & African Amer Studies",0
"107809","LING 215","Phonological Theory II","Linguistics",1
"107811","ECON 1310","The Economy of China","Economics",42
"107827","ECON 910R","Supervised Reading and Researc","Economics",4
"107831","CELLBIO 308QC","Intro to Histology","Medical Sciences",0
"107843","HBTM 200","Pathology of Human Disease","Medical Sciences",6
"107868","CELLBIO 390","Membrane: Cytoskeleton Interfc","Medical Sciences",0
"107885","GENETIC 394","Transcriptional Networks","Medical Sciences",0
"107886","GENETIC 347","Ras signaling and colon cancer","Medical Sciences",0
"107887","GENETIC 356","Research-Molecular Cytogenetic","Medical Sciences",0
"107893","THI 101B","Introductory Thai II","South Asian Studies",1
"107899","PHYSICS 302","Teaching & Communicating Physi","Physics",0
"107908","BPH 382","Aging, Stress Resistance & Die","Bio Sciences in Public Health",0
"107933","ANTHRO 98ZB","Junior Tutorial for Social Ant","Anthropology",6
"107945","E-PSCI 274","Field Geology","Earth & Planetary Sciences",1
"107973","HIST 1155","Early Modern Europe, 1450-1789","History",40
"107996","HAA 91R","Directed Study in HAA","History of Art & Architecture",1
"108001","MUSIC 220R","Topics in Music Theory","Music",0
"108059","HIST 1035","Byzantine Civilization","History",31
"108111","GENETIC 396","Genome Editing and Epigenome","Medical Sciences",0
"108113","GENETIC 392","Self-Renewal and Cancer","Medical Sciences",0
"108167","AFRAMER 120X","African American Theatre, Dram","African & African Amer Studies",7
"108169","HAA 65","Baroque Art","History of Art & Architecture",13
"108178","RELIGION 1496","Christianity: Hist-Theol-Pract","Religion, The Study of",0
"108217","SHBT 202","Clinical Aspects of Speech and","Medical Sciences",0
"108218","SHBT 203","Anatomy of Speech and Hearing","Medical Sciences",0
"108224","SHBT 205","Neural Coding of Sound","Medical Sciences",0
"108238","GOV 94GS","Globalization and Civil Societ","Government",6
"108285","GOV 63","Topics and Resources in Pol","Government",2
"108287","GOV 62","Research Practice in Qual","Government",21
"108339","CELLBIO 201","Principles of Cell Biology","Medical Sciences",0
"108355","NEUROBIO 348","Neural stem cells","Medical Sciences",0
"108356","NEUROBIO 307","Architecture and plasticity","Medical Sciences",0
"108374","COMPSCI 304","Statistical Machine Learning","Computer Science",0
"108389","FRSEMR 21G","How Did the First Stars and","Freshman Seminars",10
"108397","CHNSE 166R","Chinese in the Humanities","East Asian Langs & Civ",4
"108398","ETHRSON 32","Security:Carefree or Careless","General Education",30
"108465","PHYSICS 143A","Quantum Mechanics I","Physics",34
"108491","PSY 2160R","Affective and Dev. Neurosci. L","Psychology",2
"108494","HIST 84E","How to Read a Book","History",7
"108502","RELIGION 1013","Poetry and Religion","Religion, The Study of",4
"108513","FRSEMR 34O","You and Your Camera","Freshman Seminars",8
"108531","HIST 1913","Dirty Wars, Peace Processes, a","History",14
"108549","WOMGEN 1424","Amer Fetish: Consumer Culture","Women, Gender & Sexuality",12
"108564","FRSEMR 22T","Why We Animals Sing","Freshman Seminars",8
"108587","MEDLATIN 106","Augustine","Classics, The",8
"108639","GOV 92R","Faculty Research Assistant","Government",16
"108649","VES 35R","Building Thought","Visual & Environmental Studies",11
"108652","VES 195G","The Dream Factory","Visual & Environmental Studies",14
"108665","HEB 1540","Human Migration","Human Evolutionary Biology",14
"108688","RELIGION 1709","Buddhist Scriptural Antholog","Religion, The Study of",0
"108694","AFRAMER 209B","Africa Rising? New African Eco","African & African Amer Studies",12
"108705","GERMAN 91R","Supervised Reading & Research","Germanic Languages & Lit",1
"108716","FRENCH 136","French Feminisms Today","Romance Languages & Lit",13
"108750","E-PSCI 162","Hydrology & Envir Geomechanics","Earth & Planetary Sciences",2
"108790","COMPLIT 294","Debating World Literature","Comparative Literature",1
"108811","HISTSCI 245","Race, Science and Medicine","History of Science",5
"108840","CHEM 106","Physical-Organic Chemistry","Chemistry & Chemical Biology",3
"108842","VES 23","Conceptual Figure","Visual & Environmental Studies",14
"108852","CULTBLF 55","The Enlightenment","General Education",4
"108854","SOCWORLD 49","Worlds of Business Modrn China","General Education",54
"108859","VES 52R","Intro to Non Fiction Videomaki","Visual & Environmental Studies",6
"108871","ENG-SCI 183","Introduction to Heat Transfer","Engineering Sciences",19
"108879","AFRAMER 119X","Chocolate, Culture, and Politi","African & African Amer Studies",53
"108882","APPHY 50B","Phys Fndtn for Sci & Engr Prt","Applied Physics",80
"108890","CULTBLF 19","Contemporary Muslim Societies","General Education",87
"108901","ECON 1010A","Intermediate Microeconomics","Economics",90
"108926","BE 91R","Supervised Reading and Researc","Biomedical Engineering",1
"108949","ANTHRO 2628","Ethnograph Methods Anthro Rr","Anthropology",0
"108956","PSY 980JB","Styles of Thought","Psychology",5
"108969","E-PSCI 56","Geobiology & History of Life","Earth & Planetary Sciences",6
"108970","ARABIC 242BR","Arabic Five","Near Eastern Languages & Civ",2
"108974","SOCIOL 180","Law, Science, and Soc in Ameri","Sociology",36
"108982","MUSIC 175R","Special Topics","Music",9
"108983","MUSIC 194R","Special Topics","Music",11
"109007","SHBT 301","Acoustics & Mech of Middle Ear","Medical Sciences",0
"109014","SHBT 333R","Lab Rotation in SHBT","Medical Sciences",0
"109015","SHBT 301QC","Speech and Hearing Lab Visits","Medical Sciences",0
"109086","CELLBIO 386","Systemic metabolism and cancer","Medical Sciences",0
"109087","CELLBIO 387","Calcium signaling in health","Medical Sciences",0
"109091","HBTM 351","Bio and Immunotherapy of Chron","Medical Sciences",0
"109092","MICROBI 353","Cancer immunotherapy develop","Medical Sciences",0
"109095","NEUROBIO 320L","Neural Circuits Underlying Cog","Medical Sciences",0
"109096","NEUROBIO 321L","Human Neurophysiology","Medical Sciences",0
"109111","CHEM 342","Inorganic Chemistry","Chemistry & Chemical Biology",0
"109121","DRB 325","Tissue-Specific Stem Cells","Medical Sciences",0
"109125","HBTM 355","Epigenetic Mechanisms","Medical Sciences",0
"109127","HBTM 359","Genetics of Neurodegenerative","Medical Sciences",0
"109128","HBTM 360","Molecular characterization","Medical Sciences",0
"109129","HBTM 361","Molecular Approaches to Cell","Medical Sciences",0
"109133","HBTM 365","Bio and Genetics of Human","Medical Sciences",0
"109136","HBTM 369","DNA Damage Responses and Genom","Medical Sciences",0
"109137","HBTM 370","Integration of Metabolism","Medical Sciences",0
"109147","DRB 326","Epigenetic Regulation by Large","Medical Sciences",0
"109148","CELLBIO 319","Signaling Pathways in Cancer","Medical Sciences",0
"109149","BCMP 313","Biochemistry of Transmembrane","Medical Sciences",0
"109230","MEDVLSTD 250","Crusades in Material Culture","Medieval Studies",5
"109233","SANSKRIT 250R","Nth Year Sanskrit: Seminar","South Asian Studies",0
