"ID","Course","LongTitle","Dept","UGrad"
"000018","MUSIC 18A","Harvard Jazz Band","Music",12
"000177","MUSIC 177","Creative Music: Adv. Ensemble","Music",19
"107336","CELLBIO 305QC","Intracellular Transport","Medical Sciences",0
"107341","US-WORLD 35","Equity in American Education","General Education",149
"107367","PHYSCI 10","Quantum & Statistical Found Ch","Chemistry & Chemical Biology",10
"107375","HIND-URD 91R","Hindi-Urdu Supervised Readings","South Asian Studies",1
"107378","SAS 100R","South Asian Language Tutorials","South Asian Studies",2
"107388","ECON 1936","Keynes","Economics",3
"107394","RELIGION 1537","Justice, Human Rights, and Rel","Religion, The Study of",2
"107400","CELLBIO 306QC","Theory & Sci of Teaching","Medical Sciences",0
"107418","HBTM 302QC","Img & Micro Meth in Bio & Med","Medical Sciences",0
"107422","TDM 140R","Dance Technique: Fundaments","Theater, Dance & Media",3
"107425","ECON 1450","Religion and Political Economy","Economics",11
"107432","PSY 980F","Animal Cognition","Psychology",2
"107464","SOCWORLD 47","Contemporary Develop Countries","General Education",97
"107608","ECON 2005","Research in Contracts and Orgs","Economics",0
"107613","ECON 1415","Analytic Frameworks for Policy","Economics",1
"107628","DRB 322","Regulation of Tissue Stem Cell","Medical Sciences",0
"107630","GENETIC 397","Immunogenomics","Medical Sciences",0
"107669","GHHP 60","Negotiation and Conflict Mgmt","Global Health & Health Policy",41
"107677","COMPSCI 281","Adv. Machine Learning","Computer Science",55
"107703","CHEM 320","Chemical Biology","Chemistry & Chemical Biology",0
"107706","PSY 2410R","Lab Research Emotional Disorde","Psychology",5
"107746","NEUROBIO 355","A Biophysical Approach to Syst","Medical Sciences",0
"107755","NEUROBIO 230","Visual Recognition","Medical Sciences",1
"107761","GENETIC 395","Regulation of global genes","Medical Sciences",0
"107770","GOV 3005A","Workshop: Intl Relations","Government",1
"107821","ECON 1400","The Future of Globalization","Economics",92
"107827","ECON 910R","Supervised Reading and Researc","Economics",4
"107859","RELIGION 40","Incarnation and Desire","Religion, The Study of",12
"107868","CELLBIO 390","Membrane: Cytoskeleton Interfc","Medical Sciences",0
"107877","NEUROBIO 306QC","Quantitative Methods for Biol","Medical Sciences",0
"107885","GENETIC 394","Transcriptional Networks","Medical Sciences",0
"107886","GENETIC 347","Ras signaling and colon cancer","Medical Sciences",0
"107887","GENETIC 356","Research-Molecular Cytogenetic","Medical Sciences",0
"107892","THI 101A","Introductory Thai I","South Asian Studies",1
"107908","BPH 382","Aging, Stress Resistance & Die","Bio Sciences in Public Health",0
"107925","HIST 1911","Pacific History","History",15
"107996","HAA 91R","Directed Study in HAA","History of Art & Architecture",1
"108111","GENETIC 396","Genome Editing and Epigenome","Medical Sciences",0
"108113","GENETIC 392","Self-Renewal and Cancer","Medical Sciences",0
"108137","SOCIOL 310","Qualifying Paper","Sociology",0
"108168","AFRAMER 186X","Childhood in African America","African & African Amer Studies",19
"108212","SHBT 200","Acoustics of Speech and Hearin","Medical Sciences",0
"108213","SHBT 201","Biology of the Inner Ear","Medical Sciences",0
"108233","KORHIST 115","Korean History Through Film","East Asian Langs & Civ",7
"108354","BCMP 387","Single-molecule Biophysics","Medical Sciences",0
