"ID","Course","LongTitle","Dept","UGrad"
"000018","MUSIC 18A","Harvard Jazz Band","Music",12
"000149","PHIL 149S","Foundations of Space-Time","Philosophy",9
"000172","MUSIC 172R","Instr. in Perf.. & Composition","Music",2
"000255","PHIL 255","The First Person","Philosophy",1
"000273","PHIL 273B","Axiomatic Reasoning","Philosophy",6
"000274","PHIL 274","The Good","Philosophy",0
"000288","PHIL 288","Punishment and Imprisonment","Philosophy",3
"000291","MUSIC 291R","Music and Migration","Music",1
"000292","MUSIC 292R","Topics in Musicology","Music",0
"000301","MUSIC 301R","Reading and Resarch","Music",0
"000396","BPH 396","Evol Genomics of Malaria","Bio Sciences in Public Health",0
"107340","FRSEMR 26F","Dreams: Our Mind by Night","Freshman Seminars",14
"107341","US-WORLD 35","Equity in American Education","General Education",150
"107367","PHYSCI 10","Quantum & Statistical Found Ch","Chemistry & Chemical Biology",15
"107378","SAS 100R","South Asian Language Tutorials","South Asian Studies",4
"107379","SAS 91R","Supervised Reading & Research","South Asian Studies",2
"107388","ECON 1936","Keynes","Economics",8
"107400","CELLBIO 306QC","Theory & Sci of Teaching","Medical Sciences",0
"107418","HBTM 302QC","Img & Micro Meth in Bio & Med","Medical Sciences",0
"107425","ECON 1450","Political Economy of Religion","Economics",17
"107464","SOCWORLD 47","Contemporary Develop Countries","General Education",17
"107608","ECON 3013","Contracts and Orgs Grad Worksh","Economics",0
"107613","ECON 1415","Analytic Frameworks for Policy","Economics",2
"107628","DRB 322","Regulation of Tissue Stem Cell","Medical Sciences",0
"107630","GENETIC 397","Immunogenomics","Medical Sciences",0
"107631","HBTM 348","Molecular Pathogenesis","Medical Sciences",0
"107669","GHHP 60","Negotiation and Conflict Mgmt","Global Health & Health Policy",45
"107677","COMPSCI 281","Adv. Machine Learning","Computer Science",29
"107703","CHEM 320","Chemical Biology","Chemistry & Chemical Biology",0
"107706","PSY 2410R","Lab Research Emotional Disorde","Psychology",2
"107734","ENG-SCI 350","Materials Science","Engineering Sciences",0
"107746","NEUROBIO 355","A Biophysical Approach to Syst","Medical Sciences",0
"107755","NEUROBIO 230","Visual Recognition","Medical Sciences",3
"107761","GENETIC 395","Regulation of global genes","Medical Sciences",0
"107770","GOV 3005A","Workshop: Intl Relations","Government",1
"107827","ECON 910R","Supervised Reading and Researc","Economics",6
"107868","CELLBIO 390","Membrane: Cytoskeleton Interfc","Medical Sciences",0
"107877","NEUROBIO 306QC","Quantitative Methods for Biol","Medical Sciences",0
"107885","GENETIC 394","Transcriptional Networks","Medical Sciences",0
"107886","GENETIC 347","Ras signaling and colon cancer","Medical Sciences",0
"107887","GENETIC 356","Research-Molecular Cytogenetic","Medical Sciences",0
"107892","THI 101A","Introductory Thai I","South Asian Studies",2
"107908","BPH 382","Aging, Stress Resistance & Die","Bio Sciences in Public Health",0
"107973","HIST 1155","Early Modern Europe, 1450-1789","History",32
"107995","ENG-SCI 298R","Practical Solutions for Tech","Engineering Sciences",10
"107996","HAA 91R","Directed Study in HAA","History of Art & Architecture",2
"108058","HIST 70J","Byzantium between the Crusades","History",8
"108094","GREEK 110","Plato’s Euthydemus","Classics, The",4
"108111","GENETIC 396","Genome Editing and Epigenome","Medical Sciences",0
"108113","GENETIC 392","Self-Renewal and Cancer","Medical Sciences",0
"108137","SOCIOL 3310","Qualifying Paper","Sociology",0
"108161","CULTBLF 51","Making the Middle Ages","General Education",34
"108180","RELIGION 2420","Papyrology & New Testament","Religion, The Study of",0
"108212","SHBT 200","Acoustics of Speech and Hearin","Medical Sciences",0
"108213","SHBT 201","Biology of the Inner Ear","Medical Sciences",0
"108257","FRSEMR 25X","Human Brain in Health and","Freshman Seminars",15
"108261","FRSEMR 30G","Digging Egypt's Past: Harvard","Freshman Seminars",12
"108354","BCMP 387","Single-molecule Biophysics","Medical Sciences",0
"108356","NEUROBIO 307","Architecture and plasticity","Medical Sciences",0
"108365","SLAVIC 141","Performing Arts in Russia","Slavic Languages & Literatures",1
"108447","MODMDEST 300","Direction of Master's Thesis","Near Eastern Languages & Civ",0
"108455","AESTHINT 55","Shakespeare, The Early Plays","General Education",36
"108465","PHYSICS 143A","Quantum Mechanics I","Physics",38
"108482","WOMGEN 1200SH","Power to the People","Women, Gender & Sexuality",40
"108488","PSY 2451","Psych of Racism and Prejudice","Psychology",1
"108490","PSY 1702","The Emotional Mind","Psychology",51
"108491","PSY 2160R","Affective and Dev. Neurosci. L","Psychology",1
"108501","RELIGION 1017","The Shock of the New","Religion, The Study of",1
"108530","HIST 1511","Latin America and the U.S.","History",23
"108562","FRSEMR 43J","The Economist's View of the Wo","Freshman Seminars",15
"108569","WOMGEN 1234","Creative Writing in WGS","Women, Gender & Sexuality",12
"108580","AESTHINT 59","Nazi Cinema","General Education",44
"108583","CLASARCH 10","Greek Antiquity","Classics, The",4
"108588","CLASSIC 360","Teaching Colloquium","Classics, The",0
"108639","GOV 92R","Faculty Research Assistant","Government",12
"108649","VES 35R","Building Thought","Visual & Environmental Studies",11
"108680","AFRAMER 209A","Africa Rising? New African Eco","African & African Amer Studies",23
"108705","GERMAN 91R","Supervised Reading & Research","Germanic Languages & Lit",1
"108750","E-PSCI 162","Hydrology","Earth & Planetary Sciences",5
"108768","FRSEMR 36X","Money Matters","Freshman Seminars",4
"108816","RSRA 298A","AM Thesis Reading & Research","Russia, E Europe, Central Asia",0
"108818","RSRA 299A","AM Thesis Develmnt & Writing","Russia, E Europe, Central Asia",0
"108829","FRSEMR 27I","Global Health","Freshman Seminars",12
"108837","AFRAMER 145X","The Hiphop Cipher","African & African Amer Studies",36
"108839","SYSBIO 212","Communication of Science","Systems Biology",0
"108848","PHIL 19","Intro to Phil of Religion","Philosophy",20
"108859","VES 52","Intro to Non Fiction Videomaki","Visual & Environmental Studies",5
"108880","APPHY 50A","Phys Fndtn for Sci & Engr Prt","Applied Physics",69
"108892","ECON 980X","Economics of Work and Family","Economics",15
"108901","ECON 1010A","Intermediate Microeconomics","Economics",238
"108907","ROM-STD 99A","Tutorial - Senior Year","Romance Languages & Lit",1
"108950","AESTHINT 58","Modern Art and Modernity","General Education",88
"108971","ARABIC 242AR","Arabic Five","Near Eastern Languages & Civ",1
"108976","ANTHRO 2722","Sonic Ethnography","Anthropology",0
"108976","VES 252","Sonic Ethnography","Visual & Environmental Studies",0
"108994","BBS 230","Qualitative and Quantitative A","Medical Sciences",0
"108999","BCMP 308QC","Cell Fate Decisions","Medical Sciences",0
"109007","SHBT 301","Acoustics & Mech of Middle Ear","Medical Sciences",0
"109014","SHBT 333R","Lab Rotation in SHBT","Medical Sciences",0
"109015","SHBT 301QC","Speech and Hearing Lab Visits","Medical Sciences",0
"109021","COMPLIT 91R","Supervised Reading and Researc","Comparative Literature",0
"109073","MED-SCI 302QC","Conduct of Science Refresher","Medical Sciences",0
"109086","CELLBIO 386","Systemic metabolism and cancer","Medical Sciences",0
"109087","CELLBIO 387","Calcium signaling in health","Medical Sciences",0
"109091","HBTM 351","Bio and Immunotherapy of Chron","Medical Sciences",0
"109092","MICROBI 353","Cancer immunotherapy develop","Medical Sciences",0
"109095","NEUROBIO 320L","Neural Circuits Underlying Cog","Medical Sciences",0
"109096","NEUROBIO 321L","Human Neurophysiology","Medical Sciences",0
"109099","NEUROBIO 322L","Molecular Mechanisms","Medical Sciences",0
"109110","CHEM 145","Experimental Inorganic Chemist","Chemistry & Chemical Biology",7
"109111","CHEM 342","Inorganic Chemistry","Chemistry & Chemical Biology",0
"109121","DRB 325","Tissue-Specific Stem Cells","Medical Sciences",0
"109125","HBTM 355","Epigenetic Mechanisms","Medical Sciences",0
"109127","HBTM 359","Genetics of Neurodegenerative","Medical Sciences",0
"109128","HBTM 360","Molecular characterization","Medical Sciences",0
"109129","HBTM 361","Molecular Approaches to Cell","Medical Sciences",0
"109133","HBTM 365","Bio and Genetics of Human","Medical Sciences",0
"109136","HBTM 369","DNA Damage Responses and Genom","Medical Sciences",0
"109144","HBTM 375","The Molecular Genetics of Huma","Medical Sciences",0
"109147","DRB 326","Epigenetic Regulation by Large","Medical Sciences",0
"109148","CELLBIO 319","Signaling Pathways in Cancer","Medical Sciences",0
"109149","BCMP 313","Biochemistry of Transmembrane","Medical Sciences",0
"109235","ECON 985LA","Development and Health Economi","Economics",11
"109254","NEUROBIO 329L","Genetic & Neural Basis of Slee","Medical Sciences",0
"109256","NEUROBIO 331L","Cortical Nets","Medical Sciences",0
"109257","NEUROBIO 332L","Bio & Comput Underpin Visual P","Medical Sciences",0
"109266","BPH 384","Targets for Control of Malaria","Bio Sciences in Public Health",0
"109267","BPH 385","The Molecular Genetics of Agin","Bio Sciences in Public Health",0
"109271","GERMAN 90R","Dutch","Germanic Languages & Lit",2
"109272","ENG-SCI 95R","Startup R & D","Engineering Sciences",21
"109278","COMPSCI 306","High-Perform Software Systems","Computer Science",0
"109287","PHYSICS 395A","Theoreticl High Enrgy/String T","Physics",0
"109294","PHIL 303","Colloquium","Philosophy",0
"109330","NEUROBIO 327R","Lab Rotations in Neurosciences","Medical Sciences",0
"109339","APCOMP 298R","Interdisciplinary Seminar in","Applied Computation",3
"109346","PHYSICS 223","Electronics for Scientists","Physics",1
"109351","DRB 318","Adult hippocampal neurogenesis","Medical Sciences",0
"109369","NEUROBIO 334L","Cellular & Molec Mechanisms","Medical Sciences",0
"109372","LING 91R","Supervised Reading and Researc","Linguistics",2
"109394","HBTM 235","Human pathophysiology","Medical Sciences",0
"109412","APPHY 346","Interdisciplinary Dissertation","Applied Physics",0
"109421","MED-SCI 303","Cancer Genomics","Medical Sciences",0
"109425","ARABIC BA","Intermediate Arabic I","Near Eastern Languages & Civ",22
"109427","AFRIKAAN AA","Elementary Afrikaans","African & African Amer Studies",23
"109450","MCB 309A","Sensory Process Vis. Circuits","Molecular & Cellular Biology",0
"109454","CHEM 105","Advanced Organic Chemistry","Chemistry & Chemical Biology",3
"109457","PHYSCI 12B","Electromagnetism and Statistic","Physics",75
"109469","FRSEMR 40P","Making the Grade? Mid-High Sch","Freshman Seminars",12
"109477","ENG-SCI 91R","Supervised Reading and Researc","Engineering Sciences",14
"109498","FRSEMR 36S","Comparative Historical Myth","Freshman Seminars",12
"109513","EAFM 204","Three Times + 1. Transitional","East Asian Langs & Civ",0
"109520","CHNSE 280","Teaching Chinese","East Asian Langs & Civ",0
"109527","E-PSCI 51","Planet Materials/Earth Resourc","Earth & Planetary Sciences",6
"109546","PERSIAN 130AR","Intro to Persian Literature","Near Eastern Languages & Civ",0
"109554","GOV 1292","Politics in Brazil","Government",10
"109586","MCB 310A","Optic Prokaryotic Cellular Org","Molecular & Cellular Biology",0
"109597","PSY 2355R","Lab. Cog. & Neural Organ","Psychology",0
"109600","PHIL 34","Existentialism in Lit and Film","Philosophy",93
"109613","APCOMP 299R","Special Topics Applied Comp","Applied Computation",0
"109627","FRSEMR 21V","Black Holes, String Theory and","Freshman Seminars",15
"109657","SOCIOL 1026","Intro to Global Social Change","Sociology",30
"109660","HISTSCI 98","Tutorial - Junior Year","History of Science",33
"109665","COMPLIT 133","Shakespeare and the Globe","Comparative Literature",5
"109673","COMPLIT 255","Dysfnct Famly Alleg M East Nov","Comparative Literature",1
"109684","ESE 163","Pollution Control Aquatic Eco","Environmental Sci & Engineer",10
"109733","GOV 94PY","Rev and Pol in Contemp Iran","Government",10
