"ID","Course","LongTitle","Dept","UGrad"
"109266","BPH 384","Targets for Control of Malaria","Bio Sciences in Public Health",0
"109267","BPH 385","The Molecular Genetics of Agin","Bio Sciences in Public Health",0
"109271","GERMAN 90R","Dutch","Germanic Languages & Lit",4
"109272","ENG-SCI 95R","Startup R & D","Engineering Sciences",24
"109278","COMPSCI 306","High-Perform Software Systems","Computer Science",0
"109281","TURKISH 130A","Advanced Turkish I","Near Eastern Languages & Civ",2
"109283","COMPSCI 280R","Curricular Design for CS","Computer Science",4
"109287","PHYSICS 395A","Theoreticl High Enrgy/String T","Physics",0
"109294","PHIL 303","Colloquium","Philosophy",0
"109319","FRSEMR 23P","Physics, Math and Puzzles","Freshman Seminars",16
"109320","FRENCH 61C","Reinventing French Cinema","Romance Languages & Lit",17
"109330","NEUROBIO 327R","Lab Rotations in Neurosciences","Medical Sciences",0
"109339","APCOMP 298R","Interdisciplinary Seminar in","Applied Computation",3
"109342","PLSH CR","Advanced Polish","Slavic Languages & Literatures",1
"109346","PHYSICS 223","Electronics for Scientists","Physics",0
"109358","ENG-SCI 157","Biological Signal Processing","Engineering Sciences",8
"109366","CLASARCH 159","Collecting the Past: Seminar","Classics, The",5
"109369","NEUROBIO 334L","Cellular & Molec Mechanisms","Medical Sciences",0
"109372","LING 91R","Supervised Reading and Researc","Linguistics",1
"109394","HBTM 235","Human pathophysiology","Medical Sciences",0
"109409","HIST 1206","Empire, Nation,","History",15
"109412","APPHY 346","Interdisciplinary Dissertation","Applied Physics",0
"109421","MED-SCI 303","Cancer Genomics","Medical Sciences",0
"109425","ARABIC BA","Intermediate Arabic I","Near Eastern Languages & Civ",27
"109427","AFRIKAAN AA","Elementary Afrikaans","African & African Amer Studies",20
"109436","HIST 1520","Colonial Latin America","History",12
"109450","MCB 309A","Sensory Process Vis. Circuits","Molecular & Cellular Biology",0
"109454","CHEM 105","Advanced Organic Chemistry","Chemistry & Chemical Biology",4
"109457","PHYSCI 12B","Electromagnetism Quantum Phy","Physics",66
"109469","FRSEMR 40P","Making the Grade? Mid-High Sch","Freshman Seminars",15
"109471","FRSEMR 31E","Magic and Other Virtual","Freshman Seminars",15
"109475","FRSEMR 41E","American Death Penalty","Freshman Seminars",14
"109477","ENG-SCI 91R","Supervised Reading and Researc","Engineering Sciences",17
"109498","FRSEMR 36S","Comparative Historical Myth","Freshman Seminars",0
"109501","GENED 1043","Amer Dreams Made in Hollywood","General Education",135
"109512","CHNSLIT 280","Shanghai and Beijing","East Asian Langs & Civ",2
"109521","ISLAMCIV 145B","Islamic Philosophy & Theol II","Near Eastern Languages & Civ",5
"109527","E-PSCI 51","Planet Materials/Earth Resourc","Earth & Planetary Sciences",2
"109546","PERSIAN 130AR","Advanced Persian I","Near Eastern Languages & Civ",1
"109581","ANTHRO 1040","Origins of the Food We Eat","Anthropology",1
"109586","MCB 310A","Optic Prokaryotic Cellular Org","Molecular & Cellular Biology",0
"109597","PSY 2355R","Lab. Cog. & Neural Organ","Psychology",0
"109605","HIST 2277","Eastern Europe","History",1
"109613","APCOMP 299R","Special Topics Applied Comp","Applied Computation",0
"109627","FRSEMR 21V","Black Holes, String Theory and","Freshman Seminars",14
"109657","SOCIOL 1026","Global Social Change","Sociology",25
"109660","HISTSCI 98","Tutorial - Junior Year","History of Science",45
"109684","ESE 163","Pollution Control Aquatic Eco","Environmental Sci & Engineer",9
"109731","GOV 94GK","Pol and Ethics of Medical Care","Government",13
"109733","GOV 94PY","Rev and Pol in Contemp Iran","Government",8
"109753","FRENCH 127","Talking About Food","Romance Languages & Lit",0
"109759","HIST 92R","History Lab","History",1
"109820","SPANSH 49H","Languaging and Latinx identiti","Romance Languages & Lit",16
"109826","FRENCH 80","French Theater across Time","Romance Languages & Lit",15
"109833","FRENCH 216","The Romance of the Rose","Romance Languages & Lit",2
"109858","PSY 2357R","Evolution of Human Cooperation","Psychology",2
"109860","HISTSCI 279","Freud and His Legacies","History of Science",2
